N_ANNO;DISTRITO;Nombre_Barrio;RATIO_AIRBNB_HECTAREA;PRECIO_M2;SUPERFCIE_M2;RATIO_PUERTA;RATIO_LOCAL_HECTAREA;TAM_HOGAR_MEDIO;RATIO_HOGARES_1PER;HIPOT_MEDIA;DENSIDAD_HAB;EDAD_PROMEDIO;EDAD_MEDIANA;PROPOR_ENVEJECIMIENTO;PROPOR_DESOBREENVEJECIMIENTO;IND_ENVEJECIMIENTO;IND_JUVENTUD;IND_DEPENDENCIA;IND_ESTRUCTURA_POBLA_ACTIVA;RZ_PROGRESIVIDAD_DEMO;PROPOR_EXTRANJEROS;PROPOR_NACIDOS_FUERA_ESPAÑA;PROPOR_INMIG_EXTRANJ;TOTAL_COMPRAVENTA;SIN_ESTUDIOS;CLUSTER_JERAR;CLUSTER_KNN
2017;MORATALAZ;MEDIA LEGUA;0.17;2269;80.26;0.904;4.99;2.5;0.279;128283.47;178.29;47.72;49.4;26.84;34.83;235.12;42.53;61.95;76.82;107.64;7.9;13.92;5.19;139;0.225;0;0
2019;MORATALAZ;MEDIA LEGUA;0.17;2664;78.2;0.901;5.08;2.49;0.283;153214.72;178.89;48.01;49.55;27.51;35.69;241.62;41.39;63.67;78.77;111.95;9.33;15.83;6.49;133;0.207;0;0
2018;MORATALAZ;MEDIA LEGUA;0.17;2568;77.07;0.903;5.07;2.49;0.282;131968.9;177.75;47.94;49.61;27.43;35.77;239.9;41.68;63.55;76.94;112.07;8.27;14.63;5.67;144;0.216;0;0
2016;MORATALAZ;MEDIA LEGUA;0.17;2133;78.44;0.904;4.99;2.52;0.272;106397.03;179.45;47.44;48.91;26.45;34.27;230.19;43.44;61.15;77.5;102.74;7.59;13.37;5.04;139;0.234;0;0
2017;FUENCARRAL-EL PARDO;MIRASIERRA;0.02;3607;113.62;0.668;0.57;3.11;0.19;292673.16;44.14;38.98;40.49;14.42;21.66;66.97;149.31;56.13;76.26;90.43;4.75;9.21;2.02;561;0.063;0;0
2019;FUENCARRAL-EL PARDO;MIRASIERRA;0.02;3645;137.56;0.66;0.59;3.11;0.19;368005.36;47.05;39.04;40.45;14.49;22.77;66.6;150.15;56.84;76.11;97.22;4.92;9.29;2.25;460;0.057;0;0
2018;FUENCARRAL-EL PARDO;MIRASIERRA;0.02;3648;134.63;0.661;0.59;3.1;0.193;276152.9;45.84;38.97;40.44;14.42;22.23;66.93;149.42;56.19;76.51;95;4.83;9.31;2.04;360;0.06;0;0
2016;FUENCARRAL-EL PARDO;MIRASIERRA;0.02;3401;102.67;0.673;0.56;3.14;0.185;212842.29;42.21;39.09;40.74;14.46;20.6;67.84;147.4;55.69;75.31;90.54;4.82;9.28;2.06;878;0.067;0;0
2017;USERA;MOSCARDÓ;0.39;1788;65.98;0.894;14.7;2.63;0.3;106025.19;278.92;44.1;43.33;19.73;42.01;149.19;67.03;49.15;87.23;98.12;24.5;35.6;21.14;250;0.249;0;0
2019;USERA;MOSCARDÓ;0.39;2209;64.75;0.781;16.87;2.7;0.295;111441.21;289.98;43.8;43.03;18.93;41.54;144.58;69.17;47.1;87.81;114.36;27.22;38.85;23.71;174;0.228;0;0
2018;USERA;MOSCARDÓ;0.39;2261;74.72;0.781;16.86;2.66;0.297;108760.78;283.08;44.11;43.36;19.44;42.2;149.14;67.05;48.11;86.47;105.65;25.74;37.25;22.25;241;0.239;0;0
2016;USERA;MOSCARDÓ;0.39;1692;64.24;0.895;14.67;2.64;0.3;74046.97;278.1;44.18;43.24;20.16;41.64;154.99;64.52;49.64;89.25;90.4;23.83;34.8;20.59;166;0.261;0;0
2017;RETIRO;NIÑO JESÚS;0.39;3983;113.96;0.746;9.68;2.72;0.257;296861.95;235.9;46.15;47.11;26.17;32.4;177.72;56.27;69.21;74.2;101.67;4.88;9.22;2.33;162;0.058;0;0
2019;RETIRO;NIÑO JESÚS;0.39;4792;127.52;0.737;9.92;2.72;0.264;413009.95;238.51;46.16;47.26;26.39;32.01;176.43;56.68;70.5;73.39;92.76;5.66;10.06;2.72;103;0.049;0;0
2018;RETIRO;NIÑO JESÚS;0.39;4463;113.77;0.744;9.82;2.71;0.262;317967.46;237.53;46.18;47.28;26.41;32.37;177.91;56.21;70.21;74.01;96.88;5.08;9.35;2.47;128;0.054;0;0
2016;RETIRO;NIÑO JESÚS;0.39;3586;121.49;0.752;9.65;2.74;0.258;280924.49;237.07;45.94;46.92;25.56;32.5;171.95;58.16;67.86;75.18;100;4.73;9.19;2.18;117;0.061;0;0
2017;CHAMARTÍN;NUEVA ESPAÑA;0.3;4929;119.4;0.635;7.05;2.68;0.318;381513.92;134.69;43.35;43.25;21.16;35.68;124.9;80.06;61.54;79.88;99.63;8.66;15.35;4.61;219;0.048;0;0
2019;CHAMARTÍN;NUEVA ESPAÑA;0.3;5296;127.83;0.625;7.26;2.67;0.322;416774.76;137.74;43.28;43.33;20.89;35.38;121.26;82.47;61.58;79.91;97.46;9.13;15.69;4.88;217;0.041;0;0
2018;CHAMARTÍN;NUEVA ESPAÑA;0.3;5204;122.01;0.628;7.22;2.67;0.321;537944.86;136.84;43.23;43.2;20.93;35.73;121.86;82.06;61.58;79.75;98.77;9.02;15.52;4.88;202;0.045;0;0
2016;CHAMARTÍN;NUEVA ESPAÑA;0.3;4416;128.99;0.645;6.93;2.67;0.323;301470.21;131.55;43.56;43.32;21.49;34.55;130.55;76.6;61.16;82.51;101.03;8.69;15.36;4.59;184;0.05;0;0
2017;PUENTE DE VALLECAS;NUMANCIA;0.34;1783;61.09;0.883;12.24;2.58;0.3;82502.53;248.12;43.58;43.15;19.02;37.97;138.88;72;48.62;85.99;101.06;17.98;28.75;14.06;643;0.297;0;0
2019;PUENTE DE VALLECAS;NUMANCIA;0.34;2082;59.67;0.88;12.3;2.61;0.299;101351.67;255.79;43.55;43.13;18.59;37.66;140.21;71.32;46.72;86.76;105.54;20.87;32.16;16.7;540;0.268;0;0
2018;PUENTE DE VALLECAS;NUMANCIA;0.34;1921;61.12;0.882;12.28;2.59;0.299;86795.06;251.68;43.61;43.21;18.77;38.13;140;71.43;47.43;85.78;101.43;19.36;30.49;15.34;608;0.283;0;0
2016;PUENTE DE VALLECAS;NUMANCIA;0.34;1503;59.46;0.885;12.21;2.59;0.299;90357.06;248.45;43.42;42.84;19;37.09;137.63;72.66;48.84;87.99;97.56;17.67;28.07;13.76;451;0.308;0;0
2017;CARABANCHEL;OPAÑEL;0.46;1887;68.53;0.867;16.88;2.48;0.325;87832.92;289.18;45.03;44.53;21.31;40.06;170.98;58.48;51;84.72;102.75;18.44;29.34;14.52;234;0.228;0;0
2019;CARABANCHEL;OPAÑEL;0.46;2339;63.46;0.867;17;2.52;0.323;116716.26;298.49;44.9;44.45;20.86;39.83;171.07;58.46;49.37;84.79;106.44;20.97;32.25;16.89;247;0.207;0;0
2018;CARABANCHEL;OPAÑEL;0.46;2212;70.22;0.867;16.99;2.5;0.323;107266.7;293.44;44.97;44.5;21.09;39.95;170.81;58.54;50.24;84.7;105.7;19.53;30.83;15.58;286;0.219;0;0
2016;CARABANCHEL;OPAÑEL;0.46;1721;73.29;0.867;16.82;2.47;0.324;115354.1;284.82;45.14;44.59;21.67;39.65;173.83;57.53;51.84;85.69;97.63;17.74;28.2;13.95;213;0.241;0;0
2017;USERA;ORCASITAS;0.01;1702;100.55;0.9;2.81;2.67;0.241;116247.15;165.13;43.22;43.71;19.76;44.4;109.74;91.12;60.69;64.16;74.18;6.66;11.19;4.62;121;0.332;0;0
2019;USERA;ORCASITAS;0.01;1809;98.37;0.901;2.82;2.71;0.24;140046.14;168.37;43.43;44.43;19.44;43.79;111.53;89.66;58.39;62.55;76.9;8.29;13.52;6.09;132;0.306;0;0
2018;USERA;ORCASITAS;0.01;1698;98.41;0.901;2.82;2.68;0.24;131534.1;166.29;43.29;44.04;19.66;44.56;109.64;91.2;60.23;62.33;76.78;7.25;11.96;5.05;191;0.32;0;0
2016;USERA;ORCASITAS;0.01;1415;97.91;0.903;2.8;2.66;0.245;121356.91;164.09;43.03;43.21;19.92;43.63;109.84;91.04;61.43;68.3;77.13;6.17;10.45;4.26;109;0.343;0;0
2017;USERA;ORCASUR;0.04;1710;91.49;0.576;3.16;2.86;0.245;100490.72;96.09;40.7;41.13;14.84;38.57;85.3;117.24;47.56;82.58;102.44;11.48;19.65;8.84;141;0.349;0;0
2019;USERA;ORCASUR;0.04;1728;89.89;0.573;3.19;2.92;0.243;114958.7;99.53;40.84;41.27;14.61;37.43;87.73;113.98;45.47;83.24;98.3;14.88;23.53;12.33;122;0.326;0;0
